date,score
2020-06-05,2.0
2020-06-06,1.0
2020-06-07,1.25
2020-06-08,1.8888888888888888
2020-06-09,2.25
2020-06-10,1.75
2020-06-11,1.5
2020-06-12,1.6666666666666667
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,2.142857142857143
2020-06-16,2.25
2020-06-17,1.3333333333333333
2020-06-18,2.125
2020-06-19,1.8333333333333333
2020-06-20,2.0
2020-06-21,1.5
2020-06-22,2.25
2020-06-23,1.75
2020-06-24,2.0
2020-06-25,1.9090909090909092
2020-06-26,1.8571428571428572
2020-06-27,1.5
2020-06-28,1.0
2020-06-29,1.4
2020-06-30,1.8
2020-07-01,1.875
2020-07-02,2.0
2020-07-03,1.793103448275862
2020-07-04,1.793103448275862
