date,score
2020-06-05,1.85
2020-06-06,1.6
2020-06-07,1.6428571428571428
2020-06-08,1.95
2020-06-09,2.05
2020-06-10,1.9
2020-06-11,1.5
2020-06-12,1.7
2020-06-13,1.75
2020-06-14,2.0
2020-06-15,1.9
2020-06-16,1.6
2020-06-17,1.75
2020-06-18,1.9
2020-06-19,1.85
2020-06-20,1.8
2020-06-21,1.5454545454545454
2020-06-22,1.75
2020-06-23,1.8397654584221748
2020-06-24,1.7
2020-06-25,2.0
2020-06-26,1.95
2020-06-27,1.6
2020-06-28,2.125
2020-06-29,1.894736842105263
2020-06-30,1.8
2020-07-01,1.85
2020-07-02,2.2
2020-07-03,1.7953091684434968
2020-07-04,1.7953091684434968
