YEAR,STATE_FIPS,STATE,TOTAL_DEM_VOTES,TOTAL_REP_VOTES,TOTAL_VOTES,MARGIN_VICTORY,ABS_MARGIN_VICTORY,WINNING_PARTY,ELECTORAL_VOTES,TOP_TOPIC
2000,1,Alabama,"695,602 ","944,409 ","1,640,011 ",0.151710568,0.151710568,1,9,Economy
2000,2,Alaska,"85,922 ","176,810 ","262,732 ",0.34593426,0.34593426,1,3,Economy
2000,4,Arizona,"685,341 ","781,652 ","1,466,993 ",0.065651983,0.065651983,1,11,Economy
2000,5,Arkansas,"422,768 ","472,940 ","895,708 ",0.05601379,0.05601379,1,6,Economy
2000,6,California,"5,861,203 ","4,567,429 ","10,428,632 ",-0.1240598,0.1240598,0,55,Economy
2000,8,Colorado,"750,227 ","901,745 ","1,651,972 ",0.091719472,0.091719472,1,9,Economy
2000,9,Connecticut,"816,015 ","561,094 ","1,377,109 ",-0.185113161,0.185113161,0,7,Economy
2000,10,Delaware,"180,068 ","137,288 ","317,356 ",-0.134801296,0.134801296,0,3,Economy
2000,11,District of Columbia,"171,923 ","18,073 ","189,996 ",-0.80975389,0.80975389,0,3,Economy
2000,12,Florida,"2,911,417 ","2,911,215 ","5,822,632 ",-3.46922E-05,3.46922E-05,0,29,Economy
2000,13,Georgia,"1,116,230 ","1,419,720 ","2,535,950 ",0.119675072,0.119675072,1,16,Economy
2000,15,Hawaii,"205,302 ","137,859 ","343,161 ",-0.196534571,0.196534571,0,4,Economy
2000,16,Idaho,"138,637 ","336,937 ","475,574 ",0.416969809,0.416969809,1,4,Economy
2000,17,Illinois,"2,589,026 ","2,019,421 ","4,608,447 ",-0.123600206,0.123600206,0,20,Economy
2000,18,Indiana,"901,980 ","1,245,836 ","2,147,816 ",0.160095651,0.160095651,1,11,Economy
2000,19,Iowa,"638,517 ","634,373 ","1,272,890 ",-0.003255584,0.003255584,0,6,Economy
2000,20,Kansas,"399,276 ","622,332 ","1,021,608 ",0.218338149,0.218338149,1,6,Economy
2000,21,Kentucky,"638,898 ","872,492 ","1,511,390 ",0.15455574,0.15455574,1,8,Economy
2000,22,Louisiana,"792,344 ","927,871 ","1,720,215 ",0.078784919,0.078784919,1,8,Economy
2000,23,Maine,"319,951 ","286,616 ","606,567 ",-0.054956831,0.054956831,0,4,Economy
2000,24,Maryland,"1,145,782 ","813,797 ","1,959,579 ",-0.169416492,0.169416492,0,10,Economy
2000,25,Massachusetts,"1,616,487 ","878,502 ","2,494,989 ",-0.295786875,0.295786875,0,11,Economy
2000,26,Michigan,"2,170,418 ","1,953,139 ","4,123,557 ",-0.05269213,0.05269213,0,16,Economy
2000,27,Minnesota,"1,168,266 ","1,109,659 ","2,277,925 ",-0.02572824,0.02572824,0,10,Economy
2000,28,Mississippi,"404,964 ","573,230 ","978,194 ",0.172017003,0.172017003,1,6,Economy
2000,29,Missouri,"1,111,138 ","1,189,924 ","2,301,062 ",0.034238973,0.034238973,1,10,Economy
2000,30,Montana,"137,126 ","240,178 ","377,304 ",0.27312724,0.27312724,1,3,Economy
2000,31,Nebraska,"231,780 ","433,862 ","665,642 ",0.303589617,0.303589617,1,5,Economy
2000,32,Nevada,"279,978 ","301,575 ","581,553 ",0.03713677,0.03713677,1,6,Economy
2000,33,New Hampshire,"266,348 ","273,559 ","539,907 ",0.013356004,0.013356004,1,4,Economy
2000,34,New Jersey,"1,788,850 ","1,284,173 ","3,073,023 ",-0.164228188,0.164228188,0,14,Economy
2000,35,New Mexico,"286,783 ","286,417 ","573,200 ",-0.000638521,0.000638521,0,5,Economy
2000,36,New York,"4,107,697 ","2,403,374 ","6,511,071 ",-0.261757705,0.261757705,0,29,Economy
2000,37,North Carolina,"1,257,692 ","1,631,163 ","2,888,855 ",0.12927994,0.12927994,1,15,Economy
2000,38,North Dakota,"95,284 ","174,852 ","270,136 ",0.294547931,0.294547931,1,3,Economy
2000,39,Ohio,"2,186,190 ","2,351,209 ","4,537,399 ",0.036368633,0.036368633,1,18,Economy
2000,40,Oklahoma,"474,276 ","744,337 ","1,218,613 ",0.221613424,0.221613424,1,7,Economy
2000,41,Oregon,"720,342 ","713,577 ","1,433,919 ",-0.00471784,0.00471784,0,7,Economy
2000,42,Pennsylvania,"2,485,967 ","2,281,127 ","4,767,094 ",-0.042969574,0.042969574,0,20,Economy
2000,44,Rhode Island,"249,508 ","130,555 ","380,063 ",-0.312982321,0.312982321,0,4,Economy
2000,45,South Carolina,"566,039 ","786,426 ","1,352,465 ",0.162952091,0.162952091,1,9,Economy
2000,46,South Dakota,"130,804 ","208,700 ","339,504 ",0.229440596,0.229440596,1,3,Economy
2000,47,Tennessee,"981,720 ","1,061,949 ","2,043,669 ",0.039257336,0.039257336,1,11,Economy
2000,48,Texas,"2,433,746 ","3,799,639 ","6,233,385 ",0.219125403,0.219125403,1,38,Economy
2000,49,Utah,"203,053 ","515,096 ","718,149 ",0.434510109,0.434510109,1,6,Economy
2000,50,Vermont,"149,022 ","119,775 ","268,797 ",-0.108807018,0.108807018,0,3,Economy
2000,51,Virginia,"1,513,284 ","1,737,350 ","3,250,634 ",0.068929938,0.068929938,1,13,Economy
2000,53,Washington,"1,247,652 ","1,108,864 ","2,356,516 ",-0.05889542,0.05889542,0,12,Economy
2000,54,West Virginia,"295,497 ","336,475 ","631,972 ",0.06484148,0.06484148,1,5,Economy
2000,55,Wisconsin,"1,242,987 ","1,237,279 ","2,480,266 ",-0.002301366,0.002301366,0,10,Economy
2000,56,Wyoming,"60,481 ","147,947 ","208,428 ",0.419646113,0.419646113,1,3,Economy
2004,1,Alabama,"693,933 ","1,176,394 ","1,870,327 ",0.257955427,0.257955427,1,9,Economy
2004,2,Alaska,"89,700 ","162,731 ","252,431 ",0.289310742,0.289310742,1,3,Economy
2004,4,Arizona,"893,524 ","1,104,294 ","1,997,818 ",0.105500101,0.105500101,1,11,Economy
2004,5,Arkansas,"468,631 ","572,770 ","1,041,401 ",0.099998944,0.099998944,1,6,Economy
2004,6,California,"6,737,355 ","5,501,496 ","12,238,851 ",-0.100978352,0.100978352,0,55,Economy
2004,8,Colorado,"1,002,797 ","1,107,248 ","2,110,045 ",0.049501788,0.049501788,1,9,Economy
2004,9,Connecticut,"857,488 ","693,826 ","1,551,314 ",-0.105498951,0.105498951,0,7,Economy
2004,10,Delaware,"200,141 ","171,651 ","371,792 ",-0.076628868,0.076628868,0,3,Economy
